duration_sec,start_time,end_time,start_station_id,end_station_id,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,duration_min
52185,2019-02-28 17:32:10.145,2019-03-01 08:01:55.975,21.0,13.0,4902,Customer,1984.0,Male,No,869.75
42521,2019-02-28 18:53:21.789,2019-03-01 06:42:03.056,23.0,81.0,2535,Customer,,,No,708.6833333333333
61854,2019-02-28 12:13:13.218,2019-03-01 05:24:08.146,86.0,3.0,5905,Customer,1972.0,Male,No,1030.9
1176,2019-02-28 23:45:12.651,2019-03-01 00:04:49.184,127.0,323.0,5328,Customer,1990.0,Male,No,19.6
874,2019-02-28 23:43:05.183,2019-02-28 23:57:39.796,180.0,180.0,5629,Customer,1978.0,Male,No,14.566666666666666
385,2019-02-28 23:49:24.399,2019-02-28 23:55:50.284,6.0,15.0,6531,Customer,2000.0,Male,No,6.416666666666667
650,2019-02-28 23:43:27.503,2019-02-28 23:54:18.451,258.0,263.0,4784,Customer,,,No,10.833333333333334
223,2019-02-28 23:49:27.027,2019-02-28 23:53:10.535,28.0,50.0,6267,Customer,1993.0,Male,No,3.716666666666667
737,2019-02-28 23:35:45.442,2019-02-28 23:48:03.157,87.0,122.0,6456,Customer,1992.0,Female,No,12.283333333333333
532,2019-02-28 23:30:37.941,2019-02-28 23:39:30.206,28.0,349.0,6361,Customer,1984.0,Male,No,8.866666666666667
3418,2019-02-28 22:41:16.362,2019-02-28 23:38:14.363,11.0,11.0,319,Customer,,,No,56.96666666666667
828,2019-02-28 23:18:53.115,2019-02-28 23:32:41.117,34.0,53.0,6265,Customer,1984.0,Male,No,13.8
818,2019-02-28 23:14:40.362,2019-02-28 23:28:18.910,119.0,62.0,5284,Customer,1980.0,Male,No,13.633333333333333
1087,2019-02-28 23:01:18.406,2019-02-28 23:19:25.869,71.0,145.0,5332,Customer,1982.0,Male,No,18.116666666666667
549,2019-02-28 23:03:47.274,2019-02-28 23:12:56.392,274.0,258.0,828,Customer,1994.0,Male,No,9.15
341,2019-02-28 23:02:54.223,2019-02-28 23:08:35.441,386.0,137.0,5576,Customer,1992.0,Male,No,5.683333333333334
1612,2019-02-28 22:38:43.620,2019-02-28 23:05:36.244,137.0,133.0,6299,Customer,1988.0,Female,No,26.866666666666667
1622,2019-02-28 22:38:29.006,2019-02-28 23:05:31.057,137.0,133.0,5316,Customer,1984.0,Female,No,27.033333333333335
548,2019-02-28 22:46:36.622,2019-02-28 22:55:44.681,90.0,127.0,5907,Customer,1987.0,Male,No,9.133333333333333
448,2019-02-28 22:47:11.460,2019-02-28 22:54:40.217,97.0,61.0,5253,Customer,1993.0,Male,No,7.466666666666667
372,2019-02-28 22:46:19.114,2019-02-28 22:52:31.477,369.0,43.0,2191,Customer,,,No,6.2
564,2019-02-28 22:38:27.024,2019-02-28 22:47:51.820,375.0,56.0,6254,Customer,1978.0,Male,No,9.4
4998,2019-02-28 21:22:51.632,2019-02-28 22:46:10.114,6.0,16.0,5149,Customer,1987.0,Male,No,83.3
352,2019-02-28 22:37:38.653,2019-02-28 22:43:31.183,245.0,239.0,2647,Customer,1998.0,Male,No,5.866666666666666
1032,2019-02-28 22:26:04.558,2019-02-28 22:43:17.039,31.0,92.0,5182,Customer,1985.0,Male,No,17.2
625,2019-02-28 22:30:49.287,2019-02-28 22:41:14.960,49.0,356.0,5902,Customer,1993.0,Male,No,10.416666666666666
730,2019-02-28 22:28:50.514,2019-02-28 22:41:00.897,263.0,258.0,4784,Customer,,,No,12.166666666666666
264,2019-02-28 22:34:27.675,2019-02-28 22:38:52.354,97.0,58.0,5452,Customer,1984.0,Male,No,4.4
458,2019-02-28 22:26:20.090,2019-02-28 22:33:58.754,194.0,182.0,5883,Customer,1992.0,Male,No,7.633333333333334
232,2019-02-28 22:21:56.475,2019-02-28 22:25:49.442,247.0,258.0,865,Customer,1997.0,Male,No,3.8666666666666667
1302,2019-02-28 21:53:13.274,2019-02-28 22:14:56.173,181.0,158.0,2471,Customer,,,No,21.7
312,2019-02-28 22:07:11.570,2019-02-28 22:12:24.306,238.0,250.0,1314,Customer,1986.0,Female,No,5.2
317,2019-02-28 22:07:02.498,2019-02-28 22:12:19.842,238.0,250.0,2171,Customer,1986.0,Female,No,5.283333333333333
1468,2019-02-28 21:43:04.363,2019-02-28 22:07:32.664,321.0,29.0,6040,Customer,,,No,24.466666666666665
1097,2019-02-28 21:47:16.242,2019-02-28 22:05:33.999,87.0,139.0,3624,Customer,1981.0,Female,No,18.283333333333335
355,2019-02-28 21:57:42.797,2019-02-28 22:03:38.522,8.0,28.0,6361,Customer,1986.0,Male,No,5.916666666666667
700,2019-02-28 21:45:57.927,2019-02-28 21:57:38.298,115.0,96.0,5847,Customer,1985.0,Male,No,11.666666666666666
614,2019-02-28 21:45:47.521,2019-02-28 21:56:02.082,98.0,139.0,6498,Customer,,,No,10.233333333333333
508,2019-02-28 21:38:51.110,2019-02-28 21:47:19.594,44.0,345.0,6108,Customer,1991.0,Male,No,8.466666666666667
1178,2019-02-28 21:27:18.901,2019-02-28 21:46:56.933,180.0,189.0,5672,Customer,2000.0,Female,No,19.633333333333333
320,2019-02-28 21:41:14.051,2019-02-28 21:46:34.744,252.0,244.0,4509,Customer,,,No,5.333333333333333
588,2019-02-28 21:35:19.129,2019-02-28 21:45:08.086,134.0,119.0,2330,Customer,1990.0,Male,No,9.8
353,2019-02-28 21:38:33.962,2019-02-28 21:44:27.677,105.0,71.0,5918,Customer,1984.0,Male,No,5.883333333333334
772,2019-02-28 21:31:24.939,2019-02-28 21:44:17.226,3.0,6.0,733,Customer,1985.0,Male,No,12.866666666666667
476,2019-02-28 21:16:42.868,2019-02-28 21:24:39.850,197.0,180.0,4485,Customer,,,No,7.933333333333334
896,2019-02-28 21:09:34.209,2019-02-28 21:24:30.958,30.0,106.0,6355,Customer,1990.0,Male,No,14.933333333333334
1561,2019-02-28 20:58:27.217,2019-02-28 21:24:28.831,3.0,386.0,1338,Customer,1987.0,Female,No,26.016666666666666
1709,2019-02-28 20:55:53.932,2019-02-28 21:24:23.738,,,4211,Customer,1991.0,Female,No,28.483333333333334
978,2019-02-28 21:05:06.434,2019-02-28 21:21:24.512,62.0,27.0,3491,Customer,1997.0,Female,No,16.3
471,2019-02-28 21:07:49.994,2019-02-28 21:15:41.470,113.0,144.0,6292,Customer,1989.0,Male,No,7.85
22087,2019-02-28 15:05:22.467,2019-02-28 21:13:29.671,3.0,371.0,2761,Customer,,,No,368.1166666666667
1076,2019-02-28 20:54:30.301,2019-02-28 21:12:27.096,6.0,369.0,5140,Customer,1994.0,Male,No,17.933333333333334
257,2019-02-28 21:04:12.039,2019-02-28 21:08:29.254,321.0,34.0,5202,Customer,1983.0,Male,No,4.283333333333333
692,2019-02-28 20:50:38.959,2019-02-28 21:02:11.186,115.0,61.0,4391,Customer,1989.0,Male,No,11.533333333333333
1259,2019-02-28 20:38:39.560,2019-02-28 20:59:38.971,355.0,49.0,2138,Customer,,,No,20.983333333333334
502,2019-02-28 20:47:29.217,2019-02-28 20:55:52.184,85.0,124.0,5137,Customer,,,No,8.366666666666667
914,2019-02-28 20:37:47.510,2019-02-28 20:53:02.202,67.0,5.0,5943,Customer,1994.0,Male,No,15.233333333333333
879,2019-02-28 20:32:16.865,2019-02-28 20:46:56.100,371.0,17.0,6250,Customer,1996.0,Female,No,14.65
604,2019-02-28 20:35:31.517,2019-02-28 20:45:35.998,125.0,147.0,4517,Customer,,,No,10.066666666666666
1707,2019-02-28 20:15:36.047,2019-02-28 20:44:03.456,78.0,371.0,6136,Customer,1967.0,Male,No,28.45
373,2019-02-28 20:34:51.646,2019-02-28 20:41:05.062,58.0,97.0,5253,Customer,1984.0,Male,No,6.216666666666667
840,2019-02-28 20:25:53.830,2019-02-28 20:39:53.854,67.0,95.0,6234,Customer,1988.0,Male,No,14.0
650,2019-02-28 20:24:41.883,2019-02-28 20:35:32.383,245.0,262.0,591,Customer,1975.0,Female,No,10.833333333333334
847,2019-02-28 20:19:22.633,2019-02-28 20:33:30.063,108.0,285.0,3027,Customer,,,No,14.116666666666667
537,2019-02-28 20:24:29.636,2019-02-28 20:33:27.126,201.0,196.0,3315,Customer,,,No,8.95
865,2019-02-28 20:17:49.841,2019-02-28 20:32:15.557,91.0,6.0,6531,Customer,1988.0,Male,No,14.416666666666666
618,2019-02-28 20:21:03.901,2019-02-28 20:31:21.931,22.0,77.0,5230,Customer,1983.0,Male,No,10.3
940,2019-02-28 20:14:11.876,2019-02-28 20:29:52.047,15.0,130.0,4923,Customer,1986.0,Male,No,15.666666666666666
1909,2019-02-28 19:55:19.478,2019-02-28 20:27:09.355,398.0,324.0,5422,Customer,1993.0,Male,No,31.816666666666666
